Generation,apples 0,apples 1,apples 2,apples 3,apples 4
0,0,0,0,0,0
1,0,0,0,0,0
2,0,1,0,0,0
3,0,0,0,0,0
4,0,0,0,1,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,1,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,1,2,0
11,2,0,0,0,2
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,2,0
15,1,0,1,0,0
16,0,1,0,0,0
17,2,2,1,1,1
18,1,1,0,1,0
19,0,1,0,1,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,1,0,0,0,0
24,0,0,0,0,0
25,0,1,0,0,1
26,0,0,0,0,0
27,0,0,0,0,0
28,1,0,0,0,1
29,1,1,0,0,2
30,0,1,1,1,0
31,1,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,1
34,2,0,1,2,2
35,1,3,1,2,1
36,1,1,2,0,3
37,1,1,0,0,0
38,0,0,0,0,0
39,0,0,1,0,0
40,0,0,0,0,0
41,0,0,1,1,1
42,2,0,0,0,0
43,0,0,0,0,0
44,0,0,0,3,1
45,0,0,0,1,0
46,0,0,0,1,3
47,0,2,1,1,4
48,0,1,1,1,0
49,1,0,0,2,2
50,1,0,0,0,3
51,0,0,2,1,0
52,0,5,2,6,1
53,3,0,0,0,0
54,0,0,0,0,0
55,6,7,8,7,3
56,0,0,0,1,1
57,0,1,0,1,0
58,5,0,1,1,0
59,3,1,2,9,2
60,1,2,1,0,0
61,1,0,0,0,0
62,6,0,2,6,3
63,8,5,0,8,0
64,7,2,0,3,0
65,7,3,1,0,0
66,0,0,0,3,11
67,0,1,1,1,0
68,1,2,5,0,1
69,5,6,1,0,1
70,8,2,4,0,0
71,1,0,0,0,0
72,3,1,0,2,5
73,2,1,0,2,2
74,0,0,10,0,0
75,2,6,3,0,0
76,0,0,1,0,0
77,8,5,5,12,5
78,0,4,9,12,4
79,6,5,7,5,2
80,4,4,4,3,1
81,0,3,5,0,6
82,21,11,7,10,14
83,2,8,5,0,2
84,2,3,5,1,4
85,1,0,3,1,0
86,7,3,4,1,15
87,5,0,2,2,0
88,1,3,0,0,0
89,0,2,1,0,0
90,2,2,0,1,0
91,0,5,16,0,9
92,0,0,0,1,0
93,0,0,2,1,0
94,2,9,8,10,4
95,0,0,1,0,3
96,14,2,14,15,14
97,0,0,1,3,1
98,3,1,3,1,1
99,1,13,6,0,1
