Generation,steps 0,steps 1,steps 2,steps 3,steps 4
0,6,8,8,7,6
1,100,100,100,100,100
2,8,103,20,100,100
3,16,100,4,100,100
4,16,100,12,109,8
5,5,17,100,2,2
6,6,13,22,1,2
7,100,100,20,100,7
8,7,5,5,2,2
9,1,1,0,4,3
10,1,100,23,15,9
11,27,2,2,0,63
12,8,2,2,2,6
13,1,7,1,1,1
14,2,0,1,107,3
15,115,3,105,9,100
16,0,7,100,100,2
17,110,119,105,109,14
18,106,15,100,11,100
19,100,105,100,107,1
20,2,2,100,4,100
21,100,4,1,5,6
22,1,100,4,4,4
23,8,100,5,3,4
24,100,100,100,4,100
25,100,110,100,37,105
26,1,11,0,13,9
27,1,7,13,5,1
28,110,11,4,100,26
29,14,103,100,100,112
30,100,109,106,20,100
31,106,2,100,100,100
32,2,100,100,2,4
33,100,100,100,100,4
34,19,100,13,20,30
35,44,123,20,51,110
36,11,9,13,8,10
37,19,5,8,4,12
38,100,6,8,5,6
39,2,100,102,2,100
40,8,5,5,5,7
41,100,100,105,109,109
42,118,100,100,2,100
43,100,100,8,100,100
44,100,100,100,119,107
45,100,100,100,107,100
46,100,100,100,113,158
47,100,116,113,106,148
48,100,107,112,108,100
49,17,100,100,35,122
50,104,100,100,100,133
51,100,7,26,110,9
52,100,68,22,167,9
53,23,100,100,100,100
54,10,7,11,4,5
55,159,40,223,119,142
56,16,2,100,36,32
57,11,13,13,7,12
58,139,100,114,104,100
59,75,11,113,121,147
60,5,19,14,8,0
61,9,0,2,5,7
62,66,4,30,72,32
63,186,133,100,80,100
64,63,113,100,39,100
65,184,126,9,100,100
66,100,100,100,28,112
67,100,17,20,121,2
68,5,132,139,100,104
69,142,173,106,100,107
70,204,124,119,100,100
71,116,0,100,100,100
72,123,9,100,56,128
73,15,5,100,26,121
74,100,100,113,100,100
75,117,169,135,100,100
76,100,2,11,0,8
77,78,140,118,240,163
78,100,150,178,167,162
79,172,163,212,38,4
80,16,43,37,17,30
81,1,14,54,1,73
82,218,113,65,94,133
83,130,101,55,100,118
84,121,143,157,101,126
85,6,100,112,108,100
86,57,128,118,125,122
87,150,100,109,110,100
88,21,130,16,100,100
89,4,10,4,27,1
90,42,13,14,24,100
91,7,58,166,1,100
92,5,100,9,3,100
93,5,4,18,12,1
94,16,107,76,75,148
95,4,8,5,5,36
96,133,17,194,159,167
97,100,100,121,129,102
98,120,13,20,125,106
99,101,88,31,100,106
