Generation,apples 0,apples 1,apples 2,apples 3,apples 4
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,1,0
15,0,0,0,0,1
16,0,0,0,0,0
17,0,0,0,0,0
18,1,0,0,0,0
19,0,0,0,0,0
20,0,0,1,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,1,1,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,1,0,2,0
31,0,0,0,0,0
32,0,0,0,0,0
33,1,0,0,0,0
34,0,0,0,0,0
35,0,1,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,1,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,1,0,0
42,0,0,2,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,1,0,0
46,2,1,1,2,1
47,2,7,1,2,1
48,18,7,7,8,6
49,5,1,1,2,2
50,8,3,4,1,9
51,0,3,5,7,7
52,9,9,1,0,1
53,2,6,4,2,4
54,4,1,2,1,6
55,2,4,5,3,2
56,2,0,1,1,1
57,4,0,1,2,4
58,1,0,0,2,0
59,0,1,10,0,2
60,1,1,5,3,7
61,1,3,5,3,0
62,5,0,1,0,3
63,1,2,1,0,1
64,0,3,1,1,2
65,1,1,4,0,0
66,0,1,1,0,0
67,2,2,4,2,5
68,4,4,1,2,4
69,0,1,1,1,2
70,2,2,0,2,1
71,2,3,2,0,1
72,4,0,3,3,0
73,0,1,0,1,0
74,1,3,1,1,0
75,1,2,1,0,0
76,0,1,0,2,1
77,0,0,1,1,2
78,0,2,0,0,1
79,1,1,1,1,0
80,0,1,0,0,0
81,1,0,2,0,3
82,0,1,0,1,0
83,0,0,3,2,1
84,0,2,0,1,3
85,0,0,1,0,1
86,2,1,2,3,0
87,1,5,1,1,2
88,0,2,3,2,0
89,0,0,2,1,1
90,1,4,0,1,7
91,1,1,1,3,4
92,1,2,4,0,1
93,10,3,1,2,1
94,3,2,1,2,2
95,2,3,1,1,1
96,7,5,2,3,1
97,1,1,2,2,2
98,2,1,1,3,5
99,2,9,4,1,1
