Generation,steps 0,steps 1,steps 2,steps 3,steps 4
0,3,10,11,4,0
1,0,5,2,0,3
2,3,3,2,7,2
3,1,3,3,7,7
4,9,2,6,2,0
5,7,3,8,3,1
6,6,7,5,11,0
7,2,8,8,0,2
8,3,2,3,4,8
9,2,0,8,2,3
10,0,3,2,2,1
11,3,1,5,2,1
12,5,6,3,7,3
13,6,3,0,3,3
14,1,6,2,1,2
15,7,6,0,3,6
16,1,1,6,0,0
17,7,2,8,8,1
18,7,0,6,8,8
19,1,3,1,0,3
20,2,0,5,6,9
21,0,9,3,2,2
22,2,2,7,8,8
23,20,5,31,33,34
24,3,13,10,16,5
25,21,47,35,2,2
26,9,30,16,27,9
27,4,37,2,16,35
28,27,3,2,6,61
29,9,2,12,2,20
30,47,12,10,9,14
31,32,4,20,10,15
32,4,19,41,19,7
33,26,8,21,81,54
34,4,14,39,39,6
35,26,2,12,5,22
36,115,17,109,2,117
37,104,100,4,2,100
38,117,58,2,100,2
39,100,112,104,100,3
40,5,13,4,9,16
41,16,1,13,2,22
42,20,6,3,9,3
43,5,56,3,10,2
44,116,2,14,27,138
45,10,136,22,2,100
46,8,56,100,100,36
47,6,10,8,12,15
48,102,26,2,27,100
49,30,11,100,2,30
50,2,34,2,8,27
51,3,10,18,8,9
52,3,2,10,3,2
53,1,2,2,8,5
54,2,8,5,11,5
55,4,2,7,2,5
56,6,4,7,2,6
57,2,3,2,6,2
58,8,4,2,9,7
59,12,13,16,16,2
60,12,20,8,3,2
61,22,11,2,2,2
62,11,2,11,47,7
63,0,4,3,13,9
64,20,2,12,15,5
65,15,11,9,0,2
66,9,3,74,2,12
67,3,2,13,30,26
68,10,2,12,6,48
69,3,39,11,83,2
70,11,25,21,29,12
71,15,11,2,19,23
72,2,7,57,7,11
73,16,0,2,5,12
74,10,14,9,6,10
75,10,8,10,3,10
76,2,2,26,71,2
77,10,11,17,14,14
78,8,9,10,54,11
79,35,35,19,34,5
80,13,43,67,6,12
81,40,24,7,33,21
82,18,51,2,5,31
83,40,41,12,19,0
84,43,67,15,16,55
85,36,10,2,11,11
86,12,16,21,31,9
87,5,48,15,14,49
88,10,31,34,50,26
89,24,38,2,29,33
90,12,35,9,34,47
91,62,63,7,14,11
92,81,42,29,36,55
93,42,5,35,60,18
94,20,6,33,9,7
95,8,20,46,8,22
96,24,31,39,27,66
97,56,36,21,12,18
98,106,108,100,100,100
99,6,59,27,60,47
