Generation,steps 0,steps 1,steps 2,steps 3,steps 4
0,4,0,4,1,4
1,6,2,2,1,3
2,7,0,5,0,0
3,1,0,2,1,0
4,0,1,6,3,0
5,0,0,2,4,0
6,2,1,5,0,3
7,5,2,4,3,0
8,7,1,1,2,11
9,0,4,9,0,5
10,3,2,1,0,0
11,1,1,3,3,7
12,9,1,2,4,5
13,1,9,1,0,0
14,2,2,0,3,6
15,9,3,2,5,11
16,3,2,9,7,7
17,5,6,12,4,11
18,0,9,3,10,11
19,2,2,5,2,2
20,2,2,2,5,2
21,2,8,2,5,0
22,5,8,12,5,14
23,8,5,0,7,3
24,4,100,100,1,100
25,100,100,9,5,100
26,100,100,100,100,100
27,10,100,100,3,0
28,100,100,100,7,100
29,100,10,100,100,100
30,100,100,100,100,1
31,4,4,12,17,11
32,1,0,1,1,2
33,3,2,3,2,6
34,0,6,8,1,6
35,0,0,0,8,1
36,0,3,1,9,1
37,1,6,2,0,7
38,9,2,2,8,7
39,13,102,5,100,100
40,7,100,1,2,100
41,100,100,100,100,100
42,1,100,100,100,100
43,3,100,1,100,100
44,1,0,100,100,8
45,100,3,8,0,5
46,16,1,11,1,9
47,0,6,2,2,2
48,3,1,0,0,3
49,0,3,1,0,4
50,1,6,2,10,1
51,3,1,1,0,0
52,1,6,2,0,5
53,2,2,5,0,2
54,4,7,7,6,6
55,2,7,9,2,3
56,1,7,4,4,2
57,3,1,3,5,6
58,13,3,3,8,2
59,1,0,1,1,3
60,4,2,5,3,6
61,1,0,2,2,1
62,1,6,3,2,0
63,6,0,2,6,6
64,0,6,2,0,3
65,1,1,3,3,0
66,3,0,8,3,3
67,5,3,3,6,2
68,1,1,3,0,4
69,7,2,0,8,2
70,3,2,3,2,3
71,1,2,3,3,3
72,6,1,2,1,6
73,0,1,0,5,0
74,4,1,2,1,2
75,7,3,3,3,5
76,0,3,4,2,3
77,0,2,0,9,0
78,2,5,2,6,6
79,2,3,2,4,1
80,8,2,4,1,1
81,9,0,2,2,3
82,1,0,0,9,1
83,0,3,6,1,4
84,2,4,13,0,6
85,0,2,0,1,1
86,6,0,7,3,4
87,4,5,4,0,2
88,1,14,5,13,1
89,10,1,2,2,1
90,4,0,4,6,3
91,6,0,7,4,1
92,1,2,2,1,0
93,1,9,8,2,8
94,7,4,2,1,6
95,4,1,4,6,3
96,0,7,3,5,2
97,11,6,13,7,6
98,2,13,4,3,0
99,3,6,5,2,2
